district,city,lat,lon
Thanh Hoa City,Thanh Hoa,19.8075,105.7764
Sam Son,Thanh Hoa,19.7431,105.8942
Bim Son,Thanh Hoa,20.0650,105.8500
Nghi Son,Thanh Hoa,19.4167,105.7500
Ba Thuoc,Thanh Hoa,20.3500,105.1500
Cam Thuy,Thanh Hoa,20.2167,105.4667
Dong Son,Thanh Hoa,19.8167,105.7000
Ha Trung,Thanh Hoa,20.0333,105.8167
Hau Loc,Thanh Hoa,19.9333,105.9000
Hoang Hoa,Thanh Hoa,19.8667,105.8500
Lang Chanh,Thanh Hoa,20.1500,105.2167
Muong Lat,Thanh Hoa,20.4833,104.6167
Nga Son,Thanh Hoa,20.0167,106.0167
Ngoc Lac,Thanh Hoa,20.0500,105.4000
Nhu Thanh,Thanh Hoa,19.6167,105.5500
Nhu Xuan,Thanh Hoa,19.5667,105.4167
Nong Cong,Thanh Hoa,19.6167,105.6500
Quan Hoa,Thanh Hoa,20.4000,105.0000
Quan Son,Thanh Hoa,20.2833,104.8500
Quang Xuong,Thanh Hoa,19.7333,105.8167
Thach Thanh,Thanh Hoa,20.1333,105.6000
Thieu Hoa,Thanh Hoa,19.8833,105.6833
Tho Xuan,Thanh Hoa,19.9167,105.5167
Thuong Xuan,Thanh Hoa,19.8833,105.2167
Vinh Loc,Thanh Hoa,20.0333,105.6333
Yen Dinh,Thanh Hoa,20.0000,105.6167
Muong Lat,Thanh Hoa,20.5050,104.6200
Vinh City,Nghe An,18.6733,105.6922
Cua Lo,Nghe An,18.8167,105.7167
Thai Hoa,Nghe An,19.3167,105.4333
Hoang Mai,Nghe An,19.2500,105.7167
Anh Son,Nghe An,18.9667,105.1000
Con Cuong,Nghe An,18.9833,104.8833
Dien Chau,Nghe An,18.9833,105.6000
Do Luong,Nghe An,18.9000,105.3167
Hung Nguyen,Nghe An,18.6667,105.6167
Ky Son,Nghe An,19.2167,104.2500
Nam Dan,Nghe An,18.6833,105.5167
Nghi Loc,Nghe An,18.7833,105.6333
Nghia Dan,Nghe An,19.3333,105.5000
Que Phong,Nghe An,19.7167,104.8833
Quy Chau,Nghe An,19.5167,105.0833
Quy Hop,Nghe An,19.3167,105.1500
Quynh Luu,Nghe An,19.1667,105.6167
Tan Ky,Nghe An,19.0667,105.2500
Thanh Chuong,Nghe An,18.7500,105.2167
Tuong Duong,Nghe An,19.1667,104.6000
Yen Thanh,Nghe An,18.9833,105.4167
Ha Tinh City,Ha Tinh,18.3333,105.9000
Hong Linh,Ha Tinh,18.5333,105.7167
Ky Anh Town,Ha Tinh,18.0667,106.2833
Can Loc,Ha Tinh,18.4500,105.7500
Cam Xuyen,Ha Tinh,18.2333,106.0167
Duc Tho,Ha Tinh,18.5167,105.5833
Huong Khe,Ha Tinh,18.1667,105.7000
Huong Son,Ha Tinh,18.5000,105.4167
Ky Anh District,Ha Tinh,18.0000,106.2000
Loc Ha,Ha Tinh,18.4667,105.8667
Nghi Xuan,Ha Tinh,18.6333,105.7500
Thach Ha,Ha Tinh,18.3167,105.8500
Vu Quang,Ha Tinh,18.3833,105.4500
Dong Hoi,Quang Binh,17.4833,106.6000
Ba Don,Quang Binh,17.7500,106.4167
Bo Trach,Quang Binh,17.5500,106.3167
Le Thuy,Quang Binh,17.2000,106.7500
Minh Hoa,Quang Binh,17.7833,105.9833
Quang Ninh,Quang Binh,17.3500,106.6333
Quang Trach,Quang Binh,17.8333,106.4167
Tuyen Hoa,Quang Binh,17.8833,106.0167
Dong Ha,Quang Tri,16.8167,107.1000
Quang Tri Town,Quang Tri,16.7500,107.1833
Cam Lo,Quang Tri,16.8167,106.9833
Con Co,Quang Tri,17.1500,107.3333
Da Krong,Quang Tri,16.6333,106.9500
Gio Linh,Quang Tri,16.9167,107.0333
Hai Lang,Quang Tri,16.6667,107.2167
Huong Hoa,Quang Tri,16.6500,106.6833
Trieu Phong,Quang Tri,16.7833,107.1500
Vinh Linh,Quang Tri,17.0667,106.9667
Hue City,Thua Thien Hue,16.4667,107.5833
Huong Thuy,Thua Thien Hue,16.3833,107.6500
Huong Tra,Thua Thien Hue,16.4833,107.5167
A Luoi,Thua Thien Hue,16.2167,107.2500
Nam Dong,Thua Thien Hue,16.1500,107.7000
Phong Dien,Thua Thien Hue,16.5167,107.3833
Phu Loc,Thua Thien Hue,16.2500,107.8833
Phu Vang,Thua Thien Hue,16.4833,107.7167
Quang Dien,Thua Thien Hue,16.5500,107.5167
Da Nang City,Da Nang,16.0667,108.2167
Cam Le,Da Nang,15.9933,108.1833
Hai Chau,Da Nang,16.0500,108.2167
Lien Chieu,Da Nang,16.1000,108.1333
Ngu Hanh Son,Da Nang,16.0167,108.2500
Son Tra,Da Nang,16.0833,108.2667
Thanh Khe,Da Nang,16.0667,108.1833
Hoa Vang,Da Nang,16.0167,108.0833
Hoang Sa,Da Nang,16.5000,111.5000
Tam Ky,Quang Nam,15.5667,108.4833
Hoi An,Quang Nam,15.8833,108.3333
Dien Ban,Quang Nam,15.8833,108.2333
Bac Tra My,Quang Nam,15.3000,108.2000
Duy Xuyen,Quang Nam,15.8167,108.2000
Dai Loc,Quang Nam,15.8500,107.9500
Dong Giang,Quang Nam,15.9500,107.8167
Hiep Duc,Quang Nam,15.5500,108.1000
Nam Giang,Quang Nam,15.6000,107.5167
Nam Tra My,Quang Nam,15.0167,108.1000
Nong Son,Quang Nam,15.7000,107.9667
Nui Thanh,Quang Nam,15.4500,108.6167
Phu Ninh,Quang Nam,15.4833,108.4167
Phuoc Son,Quang Nam,15.3833,107.8333
Que Son,Quang Nam,15.7333,108.1833
Tay Giang,Quang Nam,15.8833,107.4500
Thang Binh,Quang Nam,15.6500,108.4000
Tien Phuoc,Quang Nam,15.4667,108.2833
Quang Ngai City,Quang Ngai,15.1167,108.8000
Duc Pho,Quang Ngai,14.8000,108.9667
Ba To,Quang Ngai,14.7833,108.7167
Binh Son,Quang Ngai,15.3333,108.7667
Ly Son,Quang Ngai,15.3833,109.1167
Minh Long,Quang Ngai,14.9333,108.7167
Mo Duc,Quang Ngai,14.9833,108.9000
Nghia Hanh,Quang Ngai,15.0167,108.8000
Son Ha,Quang Ngai,14.9667,108.5167
Son Tay,Quang Ngai,14.9667,108.4167
Son Tinh,Quang Ngai,15.1667,108.7667
Tra Bong,Quang Ngai,15.2667,108.4667
Tu Nghia,Quang Ngai,15.1167,108.7500
Qui Nhon,Binh Dinh,13.7667,109.2333
An Nhon,Binh Dinh,13.8833,109.0833
Hoai Nhon,Binh Dinh,14.5000,109.0167
An Lao,Binh Dinh,14.6167,108.8833
Hoai An,Binh Dinh,14.3333,108.9833
Phu Cat,Binh Dinh,13.9833,109.0833
Phu My,Binh Dinh,14.2167,109.0833
Tuy Phuoc,Binh Dinh,13.8167,109.1333
Tay Son,Binh Dinh,13.9333,108.9167
Van Canh,Binh Dinh,13.6333,108.9833
Vinh Thanh,Binh Dinh,14.1500,108.8333
Tuy Hoa,Phu Yen,13.0833,109.3000
Song Cau,Phu Yen,13.5167,109.2167
Dong Hoa,Phu Yen,12.9833,109.3333
Dong Xuan,Phu Yen,13.4333,109.0500
Phu Hoa,Phu Yen,13.0833,109.2333
Son Hoa,Phu Yen,13.0500,108.9667
Song Hinh,Phu Yen,12.8833,108.9833
Tuy An,Phu Yen,13.2667,109.2167
Tay Hoa,Phu Yen,13.0167,109.1500
Nha Trang,Khanh Hoa,12.2500,109.1833
Cam Ranh,Khanh Hoa,11.9167,109.1500
Ninh Hoa,Khanh Hoa,12.5000,109.1333
Cam Lam,Khanh Hoa,12.0167,109.1167
Dien Khanh,Khanh Hoa,12.2500,109.0833
