district,city,lat,lon
Ba Dinh,Ha Noi,21.0379,105.8359
Hoan Kiem,Ha Noi,21.0285,105.8521
Dong Da,Ha Noi,21.0125,105.8289
Cau Giay,Ha Noi,21.0357,105.7944
Hai Ba Trung,Ha Noi,21.0125,105.8501
Hoang Mai,Ha Noi,20.9634,105.8451
Long Bien,Ha Noi,21.0384,105.8972
Thanh Xuan,Ha Noi,20.9935,105.8118
Tay Ho,Ha Noi,21.0664,105.8241
Nam Tu Liem,Ha Noi,21.0142,105.7644
Bac Tu Liem,Ha Noi,21.0673,105.7641
Ha Dong,Ha Noi,20.9708,105.7744
Son Tay,Ha Noi,21.1352,105.5034
Ba Vi,Ha Noi,21.2065,105.3789
Phuc Tho,Ha Noi,21.1065,105.5891
Dan Phuong,Ha Noi,21.1119,105.6725
Hoai Duc,Ha Noi,21.0253,105.7065
Quoc Oai,Ha Noi,20.9897,105.6419
Thach That,Ha Noi,21.0234,105.5658
Chuong My,Ha Noi,20.8936,105.6264
Thanh Oai,Ha Noi,20.8714,105.7828
Thuong Tin,Ha Noi,20.8353,105.8544
Phu Xuyen,Ha Noi,20.7297,105.9083
Me Linh,Ha Noi,21.1736,105.7208
Dong Anh,Ha Noi,21.1353,105.8406
Gia Lam,Ha Noi,21.0189,105.9422
Soc Son,Ha Noi,21.2619,105.8261
Thanh Tri,Ha Noi,20.9422,105.8347
My Duc,Ha Noi,20.6975,105.7531
Ung Hoa,Ha Noi,20.7331,105.8089
Hong Bang,Hai Phong,20.8654,106.6744
Le Chan,Hai Phong,20.8490,106.6791
Ngo Quyen,Hai Phong,20.8546,106.6972
Kien An,Hai Phong,20.8033,106.6347
Hai An,Hai Phong,20.8319,106.7328
Do Son,Hai Phong,20.7072,106.7844
Duong Kinh,Hai Phong,20.7891,106.7119
Thuy Nguyen,Hai Phong,20.9328,106.6744
An Duong,Hai Phong,20.8756,106.6019
An Lao,Hai Phong,20.8222,106.5369
Kien Thuy,Hai Phong,20.7583,106.6708
Tien Lang,Hai Phong,20.7231,106.5614
Vinh Bao,Hai Phong,20.6842,106.4831
Cat Hai,Hai Phong,20.7994,106.9839
Bach Long Vi,Hai Phong,20.1333,107.7333
