district,city,lat,lon
District 1,Ho Chi Minh City,10.7761,106.6958
District 3,Ho Chi Minh City,10.7844,106.6817
District 4,Ho Chi Minh City,10.7578,106.7011
District 5,Ho Chi Minh City,10.7541,106.6622
District 6,Ho Chi Minh City,10.7481,106.6353
District 7,Ho Chi Minh City,10.7324,106.7321
District 8,Ho Chi Minh City,10.7236,106.6341
District 10,Ho Chi Minh City,10.7747,106.6669
District 11,Ho Chi Minh City,10.7628,106.6506
District 12,Ho Chi Minh City,10.8672,106.6414
Binh Tan,Ho Chi Minh City,10.7631,106.6022
Binh Thanh,Ho Chi Minh City,10.8106,106.7091
Go Vap,Ho Chi Minh City,10.8383,106.6733
Phu Nhuan,Ho Chi Minh City,10.7992,106.6803
Tan Binh,Ho Chi Minh City,10.8014,106.6525
Tan Phu,Ho Chi Minh City,10.7925,106.6183
Thu Duc City,Ho Chi Minh City,10.8492,106.7731
Binh Chanh,Ho Chi Minh City,10.6841,106.5914
Can Gio,Ho Chi Minh City,10.5083,106.8633
Cu Chi,Ho Chi Minh City,11.0067,106.5133
Hoc Mon,Ho Chi Minh City,10.8856,106.5858
Nha Be,Ho Chi Minh City,10.6481,106.7344
Bien Hoa,Dong Nai,10.9453,106.8189
Long Khanh,Dong Nai,10.9333,107.2333
Cam My,Dong Nai,10.7500,107.2833
Dinh Quan,Dong Nai,11.2000,107.3500
Long Thanh,Dong Nai,10.7833,106.9500
Nhon Trach,Dong Nai,10.7333,106.9167
Tan Phu,Dong Nai,11.3833,107.4167
Thong Nhat,Dong Nai,10.9500,107.0333
Trang Bom,Dong Nai,10.9500,106.9833
Vinh Cuu,Dong Nai,11.1333,106.9833
Xuan Loc,Dong Nai,10.9167,107.3833
Thu Dau Mot,Binh Duong,10.9800,106.6500
Di An,Binh Duong,10.9167,106.7833
Thuan An,Binh Duong,10.9167,106.7000
Ben Cat,Binh Duong,11.1667,106.6000
Tan Uyen,Binh Duong,11.0500,106.8000
Bac Tan Uyen,Binh Duong,11.1500,106.8667
Bau Bang,Binh Duong,11.2667,106.5833
Dau Tieng,Binh Duong,11.2833,106.3667
Phu Giao,Binh Duong,11.3167,106.7500
Vung Tau,Ba Ria - Vung Tau,10.3460,107.0843
Ba Ria,Ba Ria - Vung Tau,10.4964,107.1731
Phu My,Ba Ria - Vung Tau,10.5833,107.0667
Chau Duc,Ba Ria - Vung Tau,10.6500,107.2167
Con Dao,Ba Ria - Vung Tau,8.6833,106.6000
Dat Do,Ba Ria - Vung Tau,10.5000,107.2667
Long Dien,Ba Ria - Vung Tau,10.4833,107.2000
Xuyen Moc,Ba Ria - Vung Tau,10.6333,107.4167
Dong Xoai,Binh Phuoc,11.5333,106.8833
Binh Long,Binh Phuoc,11.6833,106.6000
Phuoc Long,Binh Phuoc,11.8333,106.9833
Chon Thanh,Binh Phuoc,11.4500,106.6167
Dong Phu,Binh Phuoc,11.5167,106.9167
Hon Quan,Binh Phuoc,11.6167,106.5833
Loc Ninh,Binh Phuoc,11.8500,106.5833
Bu Dang,Binh Phuoc,11.8333,107.2167
Bu Dop,Binh Phuoc,11.9667,106.8500
Bu Gia Map,Binh Phuoc,12.0167,107.0167
Phu Rieng,Binh Phuoc,11.7000,106.8500
Tay Ninh City,Tay Ninh,11.3167,106.1000
Hoa Thanh,Tay Ninh,11.2667,106.1333
Trang Bang,Tay Ninh,11.0333,106.3500
Ben Cau,Tay Ninh,11.1000,106.1167
Chau Thanh,Tay Ninh,11.3167,106.0167
Duong Minh Chau,Tay Ninh,11.3667,106.2667
Go Dau,Tay Ninh,11.1000,106.2667
Tan Bien,Tay Ninh,11.6000,105.9833
